Year,State_Name,wheat_production,rice_production,rice_minus_wheat_diff
2008,Bihar,111.84,24.22,-87.62
2008,Bihar,479.45,503.07,23.62
2008,Bihar,489.21,436.73,-52.48
2008,Bihar,489.21,703.51,214.3
2008,Bihar,479.45,743.11,263.66
2008,Bihar,378.03,743.11,365.08
2008,Bihar,378.03,1221.97,843.94
2008,Bihar,378.03,24.22,-353.81
2008,Bihar,378.03,503.07,125.04
2008,Bihar,378.03,256.94,-121.09
2008,Bihar,378.03,364.35,-13.68
2008,Bihar,378.03,317.25,-60.78
2008,Bihar,378.03,271.45,-106.58
2008,Bihar,378.03,497.81,119.78
2008,Bihar,378.03,436.73,58.7
2008,Bihar,378.03,703.51,325.48
2008,Bihar,933.55,743.11,-190.44
2008,Bihar,933.55,1221.97,288.42
2008,Bihar,933.55,24.22,-909.33
2008,Bihar,933.55,503.07,-430.48
2008,Bihar,933.55,256.94,-676.61
2008,Bihar,933.55,364.35,-569.2
2008,Bihar,479.45,24.22,-455.23
2008,Bihar,933.55,317.25,-616.3
2008,Bihar,933.55,271.45,-662.1
2008,Bihar,933.55,497.81,-435.74
2008,Bihar,933.55,436.73,-496.82
2008,Bihar,933.55,703.51,-230.04
2008,Bihar,111.84,743.11,631.27
2008,Bihar,111.84,1221.97,1110.13
2008,Bihar,240.43,703.51,463.08
2008,Bihar,111.84,503.07,391.23
2008,Bihar,111.84,256.94,145.1
2008,Bihar,111.84,364.35,252.51
2008,Bihar,111.84,317.25,205.41
2008,Bihar,111.84,271.45,159.61
2008,Bihar,111.84,497.81,385.97
2008,Bihar,111.84,436.73,324.89
2008,Bihar,111.84,703.51,591.67
2008,Bihar,360.31,743.11,382.8
2008,Bihar,360.31,1221.97,861.66
2008,Bihar,360.31,24.22,-336.09
2008,Bihar,360.31,503.07,142.76
2008,Bihar,360.31,256.94,-103.37
2008,Bihar,360.31,364.35,4.04
2008,Bihar,360.31,317.25,-43.06
2008,Bihar,360.31,271.45,-88.86
2008,Bihar,360.31,497.81,137.5
2008,Bihar,360.31,436.73,76.42
2008,Bihar,360.31,703.51,343.2
2008,Bihar,240.43,743.11,502.68
2008,Bihar,240.43,1221.97,981.54
2008,Bihar,240.43,24.22,-216.21
2008,Bihar,240.43,503.07,262.64
2008,Bihar,240.43,256.94,16.51
2008,Bihar,240.43,364.35,123.92
2008,Bihar,240.43,317.25,76.82
2008,Bihar,240.43,271.45,31.02
2008,Bihar,240.43,497.81,257.38
2008,Bihar,240.43,436.73,196.3
2008,Bihar,479.45,1221.97,742.52
2008,Bihar,599.95,743.11,143.16
2008,Bihar,599.95,1221.97,622.02
2008,Bihar,599.95,24.22,-575.73
2008,Bihar,599.95,503.07,-96.88
2008,Bihar,599.95,256.94,-343.01
2008,Bihar,599.95,364.35,-235.6
2008,Bihar,599.95,317.25,-282.7
2008,Bihar,599.95,271.45,-328.5
2008,Bihar,599.95,497.81,-102.14
2008,Bihar,599.95,436.73,-163.22
2008,Bihar,599.95,703.51,103.56
2008,Bihar,234.91,743.11,508.2
2008,Bihar,234.91,1221.97,987.06
2008,Bihar,234.91,24.22,-210.69
2008,Bihar,234.91,503.07,268.16
2008,Bihar,234.91,256.94,22.03
2008,Bihar,234.91,364.35,129.44
2008,Bihar,234.91,317.25,82.34
2008,Bihar,234.91,271.45,36.54
2008,Bihar,234.91,497.81,262.9
2008,Bihar,234.91,436.73,201.82
2008,Bihar,234.91,703.51,468.6
2008,Bihar,167.62,743.11,575.49
2008,Bihar,167.62,1221.97,1054.35
2008,Bihar,167.62,24.22,-143.4
2008,Bihar,167.62,503.07,335.45
2008,Bihar,167.62,256.94,89.32
2008,Bihar,167.62,364.35,196.73
2008,Bihar,167.62,317.25,149.63
2008,Bihar,167.62,271.45,103.83
2008,Bihar,167.62,497.81,330.19
2008,Bihar,167.62,436.73,269.11
2008,Bihar,167.62,703.51,535.89
2008,Bihar,489.48,743.11,253.63
2008,Bihar,489.48,1221.97,732.49
2008,Bihar,489.48,24.22,-465.26
2008,Bihar,489.48,503.07,13.59
2008,Bihar,489.48,256.94,-232.54
2008,Bihar,489.48,364.35,-125.13
2008,Bihar,489.48,317.25,-172.23
2008,Bihar,489.48,271.45,-218.03
2008,Bihar,489.48,497.81,8.33
2008,Bihar,489.48,436.73,-52.75
2008,Bihar,489.48,703.51,214.03
2008,Bihar,489.21,743.11,253.9
2008,Bihar,489.21,1221.97,732.76
2008,Bihar,489.21,24.22,-464.99
2008,Bihar,489.21,503.07,13.86
2008,Bihar,489.21,256.94,-232.27
2008,Bihar,489.21,364.35,-124.86
2008,Bihar,489.21,317.25,-171.96
2008,Bihar,489.21,271.45,-217.76
2008,Bihar,489.21,497.81,8.6
2008,Bihar,479.45,256.94,-222.51
2008,Bihar,479.45,364.35,-115.1
2008,Bihar,479.45,317.25,-162.2
2008,Bihar,479.45,271.45,-208
2008,Bihar,479.45,497.81,18.36
2008,Bihar,479.45,436.73,-42.72
2008,Bihar,479.45,703.51,224.06
2008,Haryana,1577.04,320.38,-1256.66
2008,Haryana,1577.04,120,-1457.04
2008,Haryana,1577.04,698.95,-878.09
2008,Haryana,2404.24,267.65,-2136.59
2008,Haryana,2404.24,1362.62,-1041.62
2008,Haryana,2404.24,512,-1892.24
2008,Haryana,2404.24,17.4,-2386.84
2008,Haryana,2404.24,320.38,-2083.86
2008,Haryana,2404.24,120,-2284.24
2008,Haryana,2404.24,698.95,-1705.29
2008,Haryana,693,267.65,-425.35
2008,Haryana,693,1362.62,669.62
2008,Haryana,3847.58,698.95,-3148.63
2008,Haryana,3847.58,120,-3727.58
2008,Haryana,3847.58,320.38,-3527.2
2008,Haryana,3847.58,17.4,-3830.18
2008,Haryana,3847.58,512,-3335.58
2008,Haryana,3847.58,267.65,-3579.93
2008,Haryana,1103,698.95,-404.05
2008,Haryana,1103,120,-983
2008,Haryana,1103,320.38,-782.62
2008,Haryana,1103,17.4,-1085.6
2008,Haryana,1103,512,-591
2008,Haryana,1103,1362.62,259.62
2008,Haryana,1103,267.65,-835.35
2008,Haryana,1179.76,698.95,-480.81
2008,Haryana,1179.76,120,-1059.76
2008,Haryana,3847.58,1362.62,-2484.96
2008,Haryana,1179.76,320.38,-859.38
2008,Haryana,1179.76,17.4,-1162.36
2008,Haryana,1179.76,512,-667.76
2008,Haryana,1179.76,1362.62,182.86
2008,Haryana,1179.76,267.65,-912.11
2008,Haryana,555.38,698.95,143.57
2008,Haryana,693,512,-181
2008,Haryana,555.38,120,-435.38
2008,Haryana,555.38,320.38,-235
2008,Haryana,555.38,17.4,-537.98
2008,Haryana,555.38,512,-43.38
2008,Haryana,555.38,1362.62,807.24
2008,Haryana,555.38,267.65,-287.73
2008,Haryana,693,698.95,5.95
2008,Haryana,693,120,-573
2008,Haryana,693,320.38,-372.62
2008,Haryana,693,17.4,-675.6
2008,Haryana,1577.04,267.65,-1309.39
2008,Haryana,1577.04,1362.62,-214.42
2008,Haryana,1577.04,512,-1065.04
2008,Haryana,1577.04,17.4,-1559.64
2008,Punjab,927,428,-499
2008,Punjab,927,717.93,-209.07
2008,Punjab,927,292.07,-634.93
2008,Punjab,927,183,-744
2008,Punjab,927,1189.45,262.45
2008,Punjab,927,2246.84,1319.84
2008,Punjab,927,1143.16,216.16
2008,Punjab,927,1747.04,820.04
2008,Punjab,927,1332.51,405.51
2008,Punjab,1613,663,-950
2008,Punjab,1613,1057,-556
2008,Punjab,1613,428,-1185
2008,Punjab,1613,717.93,-895.07
2008,Punjab,1613,292.07,-1320.93
2008,Punjab,1613,183,-1430
2008,Punjab,1613,1189.45,-423.55
2008,Punjab,1613,2246.84,633.84
2008,Punjab,1613,1143.16,-469.84
2008,Punjab,1613,1747.04,134.04
2008,Punjab,1613,1332.51,-280.49
2008,Punjab,472,663,191
2008,Punjab,472,1057,585
2008,Punjab,472,428,-44
2008,Punjab,472,717.93,245.93
2008,Punjab,472,292.07,-179.93
2008,Punjab,472,183,-289
2008,Punjab,472,1189.45,717.45
2008,Punjab,472,2246.84,1774.84
2008,Punjab,472,1143.16,671.16
2008,Punjab,472,1747.04,1275.04
2008,Punjab,472,1332.51,860.51
2008,Punjab,889.17,663,-226.17
2008,Punjab,889.17,1057,167.83
2008,Punjab,889.17,428,-461.17
2008,Punjab,889.17,717.93,-171.24
2008,Punjab,889.17,292.07,-597.1
2008,Punjab,889.17,183,-706.17
2008,Punjab,889.17,1189.45,300.28
2008,Punjab,889.17,2246.84,1357.67
2008,Punjab,889.17,1143.16,253.99
2008,Punjab,889.17,1747.04,857.87
2008,Punjab,889.17,1332.51,443.34
2008,Punjab,660.83,663,2.17
2008,Punjab,660.83,1057,396.17
2008,Punjab,660.83,428,-232.83
2008,Punjab,660.83,717.93,57.1
2008,Punjab,660.83,292.07,-368.76
2008,Punjab,316,1057,741
2008,Punjab,660.83,183,-477.83
2008,Punjab,660.83,1189.45,528.62
2008,Punjab,660.83,1143.16,482.33
2008,Punjab,660.83,1747.04,1086.21
2008,Punjab,660.83,1332.51,671.68
2008,Punjab,316,663,347
2008,Punjab,660.83,2246.84,1586.01
2008,Punjab,927,663,-264
2008,Punjab,927,1057,130
2008,Punjab,1530.52,1332.51,-198.01
2008,Punjab,1530.52,1747.04,216.52
2008,Punjab,1530.52,1143.16,-387.36
2008,Punjab,1530.52,2246.84,716.32
2008,Punjab,1530.52,1189.45,-341.07
2008,Punjab,1530.52,183,-1347.52
2008,Punjab,1530.52,292.07,-1238.45
2008,Punjab,1530.52,717.93,-812.59
2008,Punjab,1530.52,428,-1102.52
2008,Punjab,1530.52,1057,-473.52
2008,Punjab,1530.52,663,-867.52
2008,Punjab,1939.08,1332.51,-606.57
2008,Punjab,1939.08,1747.04,-192.04
2008,Punjab,1939.08,1143.16,-795.92
2008,Punjab,1939.08,2246.84,307.76
2008,Punjab,1939.08,1189.45,-749.63
2008,Punjab,1939.08,183,-1756.08
2008,Punjab,1939.08,292.07,-1647.01
2008,Punjab,1939.08,717.93,-1221.15
2008,Punjab,1939.08,428,-1511.08
2008,Punjab,1939.08,1057,-882.08
2008,Punjab,1939.08,663,-1276.08
2008,Punjab,2567,1332.51,-1234.49
2008,Punjab,2567,1747.04,-819.96
2008,Punjab,2567,1143.16,-1423.84
2008,Punjab,2567,2246.84,-320.16
2008,Punjab,2567,1189.45,-1377.55
2008,Punjab,2567,183,-2384
2008,Punjab,2567,292.07,-2274.93
2008,Punjab,2567,717.93,-1849.07
2008,Punjab,2567,428,-2139
2008,Punjab,2567,1057,-1510
2008,Punjab,2567,663,-1904
2008,Punjab,3625,1332.51,-2292.49
2008,Punjab,3625,1747.04,-1877.96
2008,Punjab,3625,1143.16,-2481.84
2008,Punjab,3625,2246.84,-1378.16
2008,Punjab,3625,1189.45,-2435.55
2008,Punjab,3625,183,-3442
2008,Punjab,3625,292.07,-3332.93
2008,Punjab,3625,717.93,-2907.07
2008,Punjab,3625,428,-3197
2008,Punjab,3625,1057,-2568
2008,Punjab,3625,663,-2962
2008,Punjab,1193.4,1332.51,139.11
2008,Punjab,1193.4,1747.04,553.64
2008,Punjab,1193.4,1143.16,-50.24
2008,Punjab,1193.4,2246.84,1053.44
2008,Punjab,1193.4,1189.45,-3.95
2008,Punjab,1193.4,183,-1010.4
2008,Punjab,1193.4,292.07,-901.33
2008,Punjab,1193.4,717.93,-475.47
2008,Punjab,1193.4,428,-765.4
2008,Punjab,1193.4,1057,-136.4
2008,Punjab,1193.4,663,-530.4
2008,Punjab,316,1332.51,1016.51
2008,Punjab,316,1747.04,1431.04
2008,Punjab,316,1143.16,827.16
2008,Punjab,316,2246.84,1930.84
2008,Punjab,316,1189.45,873.45
2008,Punjab,316,183,-133
2008,Punjab,316,292.07,-23.93
2008,Punjab,316,717.93,401.93
2008,Punjab,316,428,112
2008,Rajasthan,81.67,0,-81.67
2008,Rajasthan,81.67,56.85,-24.82
2008,Rajasthan,81.67,0,-81.67
2008,Rajasthan,81.67,0,-81.67
2008,Rajasthan,81.67,4.81,-76.86
2008,Rajasthan,81.67,0,-81.67
