Year,avg_maize_yield_kg_per_ha
1966,917.84
1967,1069.68
1968,916.18
1969,972.97
1970,1279.28
1971,999.73
1972,1062.54
1973,1044.72
1974,989.79
1975,1186.2
1976,1117.58
1977,1115.04
1978,1119.69
1979,1121.15
1980,1215.62
1981,1284.76
1982,1344.92
1983,1497.54
1984,1367.25
1985,1196.26
1986,1256.8
1987,1101.25
1988,1295.88
1989,1520.26
1990,1377.56
1991,1304.28
1992,1641.44
1993,1533.82
1994,1385.61
1995,1565.43
1996,1630.26
1997,1623.27
1998,1640.65
1999,1715.53
2000,1760.25
2001,1960.1
2002,1571.68
2003,1886.54
2004,1805.59
2005,1884.39
2006,1857.74
2007,2187.08
2008,2119.13
2009,1959.96
2010,2324.95
2011,2301.79
2012,2399.48
2013,2594.59
2014,2620.62
2015,2449.73
2016,2650.52
2017,3080.92
